date,grade,name,type
2024-04-15,5.8,"Climbin' Punishment",Trad
2024-04-16,5.8,"The Burn",Trad
2024-04-19,5.4,"Conn's West",Trad
2024-04-19,5.4,"Gunsight to South Peak",Trad
2024-04-21,5.4,"Totem (p1 only)",Trad
2024-04-22,5.8,"Bottom Feeder",Sport
2024-04-22,5.10a,"License to Drill",Sport
2024-04-23,5.7,Ecstasy,Trad
2024-04-23,5.2,"Old Ladies Route",Trad
2024-04-27,5.4,"Gunsight to South Peak",Trad
2024-04-28,5.4,"Ecstasy Junior",Trad
2024-04-28,5.4,"Humphrey's Head",Trad
2024-05-01,5.9,"Right Tope",Trad
2024-05-02,5.7,Millennium,Trad
2024-05-06,5.11b,Shorty,Sport
2024-05-06,5.7,Oz,Sport
2024-05-08,5.7,"Green Wall",Trad
2024-05-12,5.2,"Old Man's Route",Trad
2024-05-15,5.3,"Skyline Traverse",Trad
2024-05-16,5.8,"Triple S",Trad
2024-05-19,5.10a,"Sea of Tranquility",Sport
2024-05-19,5.11a,"Catfish Strangler",Sport
2024-05-19,5.7,"Welcome to Reed's Creek",Sport
2024-05-19,5.7,"Dr Taco",Sport
2024-05-25,5.8,"Lichen or Leave It",Trad
2024-05-25,5.6,"Bear's Delight",Trad
2024-05-26,5.4,"Conn's West",Trad
2024-05-27,5.4,"Ecstasy Junior",Trad
2024-05-27,5.2,"Old Man's Route",Trad
2024-05-28,5.1,"Worrell's Thicket",Trad
2024-05-28,5.4,"Up and Coming",Trad
2024-05-28,5.2,"Old Ladies Route",Trad
2024-06-01,5.4,"Conn's West",Trad
2024-06-03,5.6,Thais,Trad
2024-06-07,5.7,"Bee Sting Corner",Trad
2024-06-07,5.8,T&T,Trad
2024-06-08,5.4,Kauffman-Cardon,Trad
2024-06-08,5.6,"Conn's East",Trad
2024-06-11,5.10a,Pollux,Trad
2024-06-13,5.8,"Climbin' Punishment",Trad
2024-06-15,5.4,"Gunsight to South Peak",Trad
2024-06-19,5.4,"Totem (p1 only)",Trad
2024-06-20,5.11a,Ambush,Trad
2024-06-21,5.7,"Pleasant Overhangs",Trad
2024-06-22,5.6,"EZ Wider",Sport
2024-06-24,5.2,"Old Man's Route",Trad
2024-06-24,5.6,"Critter Crack",Trad
2024-06-24,5.4,"Gunsight to South Peak",Trad
2024-07-06,5.6,Thais,Trad
2024-07-06,5.5,"Thais - Variation Thais Escape",Trad
2024-07-07,5.6,"Candy Corner",Trad
2024-07-07,5.3,"Skyline Traverse",Trad
2024-07-09,5.10a,"Honey Hole 5.10a",Sport
2024-07-09,5.7,"Honey Hole 5.7",Sport
2024-07-10,5.4,"Conn's West",Trad
2024-07-10,5.6,"Roy Gap Chimney's",Trad
2024-07-11,5.2,"Old Man's Route",Trad
2024-07-17,5.4,"Totem (p1 only)",Trad
2024-07-18,5.4,"Conn's West",Trad
2024-07-20,5.4,"Totem (p1 only)",Trad
2024-07-22,5.4,"Totem (p1 only)",Trad
2024-07-24,5.4,"Totem (p1 only)",Trad
2024-07-29,5.6,"Candy Corner",Trad
2024-07-30,5.7,"Dufty's Popoff",Trad
2024-07-30,5.5,"Lower Skyline Direct (LSD)",Trad
2024-07-31,5.10a,"Wild Men Only",Trad
2024-08-01,5.4,"Conn's West",Trad
2024-08-01,5.4,"Ecstasy Junior",Trad
2024-08-02,5.6,Thais,Trad
2024-08-02,5.5,"Thais - Variation Thais Escape",Trad
2024-08-03,5.10a,Lifers,Sport
2024-08-03,5.10b,"Flying Bunghole",Sport
2024-08-03,5.10a,"License to Drill",Sport
2024-08-04,5.4,"Totem (p1 only)",Trad
2024-08-04,5.6,"Roy Gap Chimney's",Trad
2024-08-12,5.3,"Skyline Traverse",Trad
2024-08-12,5.2,"Old Man's Route",Trad
2024-08-13,5.3,"Skyline Traverse",Trad
2024-08-13,5.8,"Rear Entry",Trad
2024-08-14,5.7,"Seneca Daze",Sport
2024-08-14,5.7,Prune,Trad
2024-08-14,5.9,"Back to the Front",Trad
2024-08-18,5.6,"Rox Salt",Trad
2024-08-18,5.4,"Gunsight to South Peak",Trad
2024-08-21,5.10a,Crescendo,Trad
2024-08-21,5.10b,34D,Sport
2024-08-26,5.9,"Lickety Split",Sport
2024-08-27,5.8,"Geisha Girl",Sport
2024-08-27,5.8,"Mrs. Field's Follies",Sport
2024-08-27,5.10c,Kinesthetica,Sport
2024-08-27,5.10b,"The Decameron",Sport
2024-08-28,5.8,"Screamer Crack",Trad
2024-08-28,5.10a,Mushrooms,Trad
2024-08-31,5.4,"Totem (p1 only)",Trad
2024-09-02,5.10a,Crescendo,Trad
2024-09-05,5.2,"Old Man's Route",Trad
2024-09-06,5.2,"Old Man's Route",Trad
2024-09-10,5.1,"Worrell's Thicket",Trad
2024-09-10,5.4,"Gunsight to South Peak",Trad
2024-09-10,5.2,"Old Man's Route",Trad
2024-09-11,5.4,"Conn's West",Trad
2024-09-12,5.4,"Ecstasy Junior",Trad
2024-09-12,5.7,"Green Wall",Trad
2024-09-15,5.7,Millennium,Trad
2024-09-16,5.7,"Traffic Jam",Trad
2024-09-16,5.2,"Old Ladies Route",Trad
2024-09-19,5.10a,"La Bella Vista",Trad
2024-09-20,5.7,Prune,Trad
2024-09-20,5.7,"Neck Press",Trad
2024-09-21,5.4,"Totem (p1 only)",Trad
2024-09-26,5.2,"Old Man's Route",Trad
2024-10-07,5.5,"Lower Skyline Direct (LSD)",Trad
2024-10-07,5.3,"Skyline Traverse",Trad
2024-10-07,5.4,"Gunsight to South Peak",Trad
2024-10-12,5.2,"Old Ladies Route",Trad
2024-10-12,5.4,"Windy Corner",Trad
2024-10-16,5.6,"Roy Gap Chimney's",Trad
2024-10-17,5.3,"Skyline Traverse",Trad
2024-10-17,5.4,"Gunsight to South Peak",Trad
2024-10-18,5.4,"Le Gourmet",Trad
2024-10-18,5.6,"Critter Crack",Trad
2024-10-21,5.10b,"Stone Gallows",Trad
2024-10-24,5.4,"Gert's Grungy Gulley",Trad
2024-10-25,5.2,"Old Man's Route",Trad
2025-01-03,5.7,"Preto (with Rubro Negro var)",Trad
2025-01-07,5.6,Coringa,Sport
2025-01-11,5.9,"Waldemar Guimaraes (Waldo) - to Segundo",Trad
2025-01-14,5.10a,"Via dos Italianos",Sport
2025-01-17,5.9,K2,Trad
2025-01-17,5.10d,K3,Trad
2025-01-18,5.9,CERJ,Trad
2025-01-20,5.9,Kakaroots,Sport
2025-01-23,5.6,Coringa,Sport
2025-01-23,5.7,Costao,Sport
2025-01-29,5.6,Infravermelho,Trad
2025-01-30,5.5,Graalzinho,Sport
2025-01-31,5.8,"Passagem dos Olhos",Sport
2025-02-01,5.10a,"Fissura Esquecida",Trad
2025-02-01,5.9,"Ovos Na Chapa",Trad
2025-02-02,5.6,Coringa,Sport
2025-02-02,5.7,Costao,Sport
2025-02-06,5.9,Kakaroots,Sport
2025-03-08,5.10c,"Man Overboard",Sport
2025-03-08,5.9,Silhouette,Sport
2025-03-08,5.10c,"Devil in the White House",Sport
2025-03-18,5.7,"West Pole",Trad
2025-03-25,5.10a,"Ed's Fudge Shop",Trad
2025-03-25,5.10a,"The Wax Museum",Trad
2025-03-25,5.10b,"The Petting Zoo",Trad
2025-04-01,5.10a,Lifers,Sport
2025-04-09,5.10a,Crescendo,Trad
2025-04-11,5.3,"Skyline Traverse",Trad
2025-04-14,5.10a,Crescendo,Trad
2025-04-23,5.9,"Marshall's Madness",Trad
2025-05-01,5.10a,"The Wanderer",Sport
2025-05-01,5.10a,"Ben Dunne",Trad
2025-05-02,5.7-,"Master Gardner",Trad
2025-05-02,5.7-,"Ventilator Shaft",Trad
2025-05-11,5.7,"Neck Press",Trad
2025-05-11,5.8,"Triple S",Trad
2025-05-11,5.9,"Marshall's Madness",Trad
2025-05-15,5.9,"Riverton South Mixed Line (porchview)",Trad
2025-05-19,5.6,"Candy Corner",Trad
2025-05-19,5.4,Kauffman-Cardon,Trad
2025-05-19,5.7,"Bee Sting Corner",Trad
2025-05-19,5.6,Thais,Trad
2025-05-19,5.5,"Thais - Variation Thais Escape",Trad
2025-05-24,5.6,Thais,Trad
2025-05-24,5.5,"Thais - Variation Thais Escape",Trad
2025-05-25,5.11a,"Porcelain Pump",Sport
2025-05-29,5.10a,Lifers,Sport
2025-05-29,5.10a,"The Tribe Lite",Sport
2025-05-29,5.11a,"Grizzly Adams",Sport
2025-06-01,5.8+,Superwoman,Sport
2025-06-01,5.10c,"Grain of Sand",Sport
2025-06-01,5.10a,Joker,Sport
2025-06-01,5.11b,"La Machina",Sport
2025-06-01,5.10b,"Still Laughing",Sport
2025-06-20,5.4,"Totem (p1 only)",Trad
2025-06-21,5.7,Ecstasy,Trad
2025-06-25,5.4,"Totem (p1 only)",Trad
2025-07-02,5.4,"Totem (p1 only)",Trad
2025-07-02,5.9,"Bat Girl",Trad
2025-07-03,5.7,Soler,Trad
2025-07-05,5.7,"Ugly Duckling",Sport
2025-07-05,5.11a,"Lusting for Ladybugs",Sport
2025-07-06,5.4,"Conn's West",Trad
2025-07-09,5.11a,"Notch Up Another One",Sport
2025-07-09,5.6,"Tommy T",Sport
2025-07-10,5.2,"Old Man's Route",Trad
2025-07-11,5.4,"Totem (p1 only)",Trad
2025-07-12,5.3,"Skyline Traverse",Trad
2025-07-14,5.2,"Old Ladies Route",Trad
2025-07-19,5.8,"Block Party",Trad
2025-07-21,5.7,"Neck Press",Trad
2025-07-21,5.2,"Old Man's Route",Trad
2025-07-22,5.10c,"The Lost World",Sport
2025-07-24,5.4,"Totem (p1 only)",Trad
2025-07-24,5.6,"Candy Corner",Trad
2025-07-25,5.6,"Roy Gap Chimney's",Trad
2025-07-25,5.8,"Block Party",Trad
2025-07-25,5.8,"Fear of Flying",Trad
2025-07-27,5.4,"Totem (p1 only)",Trad
2025-07-28,5.2,"Old Man's Route",Trad
2025-07-29,5.1,"Worrell's Thicket",Trad
2025-07-30,5.2,"Old Man's Route",Trad
2025-07-31,5.7,"West Pole",Trad
2025-08-01,5.4,"Totem (p1 only)",Trad
2025-08-02,5.4,"Ecstasy Junior",Trad
2025-08-03,5.4,"Totem (p1 only)",Trad
2025-08-10,5.10d,"Kissler-Clark Route",Trad
2025-08-10,5.10a,"Behind the Pine",Trad
2025-08-10,5.11a,"Janoscrat Crack",Trad
2025-08-12,5.9,SPF40,Sport
2025-08-27,5.10a,"The Glass Menagerie (Aid)",Trad
2025-08-30,5.2,"Old Man's Route",Trad
2025-09-21,5.5,"Regular Route",Trad
2025-09-22,5.9,Commitment,Trad
2025-09-26,5.4,"Totem (p1 only)",Trad
2025-09-27,5.10a,Lifers,Sport
2025-09-27,5.7,Oz,Sport
2025-09-28,5.4,"Le Gourmet",Trad
2025-09-28,5.6,"Front C",Trad
2025-09-28,5.6,"Critter Crack",Trad
2025-09-29,5.8,T&T,Trad
2025-09-29,5.7,"Bee Sting Corner",Trad
2025-09-30,5.2,"Old Man's Route",Trad
2025-10-04,5.4,"Totem (p1 only)",Trad
2025-10-07,5.9,"Cockscomb Overhang Direct",Trad
2025-10-13,5.5,"Lower Skyline Direct (LSD)",Trad
2025-10-13,5.3,"Skyline Traverse",Trad
2025-10-13,5.4,"Up and Coming",Trad
2025-10-13,5.2,"Old Ladies Route",Trad
2025-10-13,5.4,"Windy Corner",Trad
2025-10-13,5.1,"East Face to Gunsight Notch",Trad
2025-10-13,5.1,"Gunsight To North Peak",Trad
2025-10-18,5.2,"Old Man's Route",Trad
2025-10-19,5.8,"Fear of Flying",Trad
2025-10-19,5.8,"Block Party",Trad
2025-10-19,5.8,"Climbin' Punishment",Trad
2025-10-22,5.2,"Old Ladies Route",Trad
2025-10-24,5.6,"Stolen Lexus",Sport
2025-10-24,5.7,Hammered,Sport
2025-10-26,5.7,Ecstasy,Trad
2025-10-31,5.9+,"Four Sheets to the Wind",Trad
2025-11-02,5.6,"Afternoon Delight",Trad
2025-11-05,5.12a,Starry,Sport
2025-11-05,5.9+,Bullocks,Sport
2025-11-05,5.10c,"Rodent's Party",Sport
2025-11-05,5.9,"Girl Boner",Sport
2025-11-05,5.8,Berecik,Sport
2025-11-06,5.9+,Supercrack,Trad
2025-11-06,5.10b,"Wham Bam Thanks for the Jam",Trad
2025-11-24,5.7+,"Block Route",Trad
2025-11-24,5.5,"The Great Arch",Trad
2025-11-28,5.8,"Buzzard's Breath",Sport
2025-11-28,5.10c,Erocktica,Sport
2025-12-01,5.7+,"Fruit Loops",Trad
2025-12-01,5.8+,Granola,Trad
2025-12-26,5.6,"Knob Wall",Trad
2025-12-26,5.10c,Misty,Sport
2026-01-08,5.10a,"Will The Wolf Survive?",Sport
2026-01-08,5.11c,"Lobos Trabajando",Sport
2026-01-08,5.8,"The Anvil",Sport
2026-01-08,5.9,"Howlin' Wolf",Sport
2026-01-09,5.11b,"Evil Shenanigans",Sport
2026-01-09,5.8,"Yankee Clipper (p1 only)",Sport
2026-01-13,5.9,CDC&J,Sport
2026-01-13,5.8,"Graffiti Route",Sport
2026-01-13,5.10a,"Jungle Mountaineering",Sport
2026-01-14,5.10d,"Pitch Black",Sport
2026-01-15,5.10b,"Aguja Celo Rey",Sport
2026-01-16,5.11b,"When You're Lost In The Wild",Sport
2026-01-17,5.5,"Lisa's Pizzas",Sport
2026-01-20,5.10c,"Pancho Villa Rides Again",Sport
2026-04-01,5.4,"Le Gourmet",Trad
2026-04-01,5.6,"Front C",Trad
2026-04-01,5.6,"Critter Crack",Trad
2026-04-02,5.4,"Gunsight to South Peak",Trad
2026-04-04,5.10a,Kamikaze,Sport
2026-04-06,5.9,"Crotchrocket Spire",Sport
2026-04-12,5.4,"Blueberry Squishy",Sport
2026-04-12,5.5,"Hot Dog Roller",Sport
2026-04-12,5.5,"Apu's Corner",Sport
2026-04-12,5.8,"Convenience Forever",Sport
2026-04-12,5.9+,"Freshness Never",Sport
2026-04-12,5.4,"Bargain Bin",Sport
2026-04-22,5.6,Maxim,Sport
2026-04-22,5.11a,Polish,Sport
2026-04-24,5.9,"Svarte Stripe",Sport
2026-04-24,5.10a,Simpson,Trad
2026-04-25,5.10b,Lillegoll,Sport
2026-05-07,5.9,"Smack The Lip",Sport
2026-05-07,5.9,"Throwing Buckets",Sport
2026-05-07,5.9,"Duck Dive",Sport
2026-05-07,5.10a,Jaws,Sport
2026-05-08,5.4,"Conn's West",Trad
2026-05-09,5.6,"Candy Corner",Trad
2026-05-09,5.4,"Totem (p1 only)",Trad
2026-05-12,5.8,"Fear of Flying",Trad
2026-05-12,5.8,"Block Party",Trad
2026-05-15,5.8,T&T,Trad
2026-05-15,5.7,"Bee Sting Corner",Trad
2026-05-16,5.1,"Worrell's Thicket",Trad
2026-05-16,5.4,"Up and Coming",Trad
2026-05-16,5.2,"Old Ladies Route",Trad
2026-05-16,5.4,"Windy Corner",Trad
2026-05-17,5.2,"Old Ladies Route",Trad
2026-05-17,5.8,"Alcoa Presents",Trad
2026-05-24,5.7,"Wazoo Tower Regular Route",Trad
2026-05-27,5.4,"Ecstasy Junior",Trad
2026-05-27,5.4,"Le Gourmet",Trad
2026-05-27,5.6,"Front C",Trad
2026-05-28,5.7,Tuscarora,Sport
2026-05-31,5.6,Thais,Trad
2026-05-31,5.5,"Thais - Variation Thais Escape",Trad
2026-06-02,5.7,"SE Ridge Traverse",Trad
2026-06-05,5.2,"Old Man's Route",Trad
2026-06-08,5.8,"Touching Cotton",Trad
2026-06-09,5.2,"Old Man's Route",Trad
2026-06-11,5.8,T&T,Trad
2026-06-11,5.7,"Bee Sting Corner",Trad
2026-06-12,5.6,"Roy Gap Chimney's",Trad
2026-06-13,5.6,"Roy Gap Chimney's",Trad
2026-06-20,5.3,"Skyline Traverse",Trad
2026-06-21,5.4,"Le Gourmet",Trad
2026-06-21,5.2,"Old Man's Route",Trad
2026-06-23,5.6,"Unknown Line",Sport
2026-06-23,5.7,"Black Bag Job",Sport
2026-06-23,5.7,"Alien Autopsy",Trad
2026-06-28,5.2,"Old Man's Route",Trad
2026-06-29,5.2,"Old Man's Route",Trad
2026-06-30,5.9,"Right Tope",Trad
2026-07-02,5.4,"Cockscomb Pine Tree Traverse",Trad
2026-07-02,5.4,"Windy Corner",Trad
2026-07-03,5.6,Thais,Trad
2026-07-03,5.5,"Thais - Variation Thais Escape",Trad
2026-07-04,5.6,"Roy Gap Chimney's",Trad
2026-07-05,5.4,"Gert's Grungy Gulley",Trad
2026-07-05,5.4,"Humphrey's Head",Trad
2026-07-07,5.5,"Hot Dog Roller",Sport
